open;high;low;close;volume;marketCap;timestamp
1852.8108410349;1853.9889768616;1841.943608799;1843.0059933849;6360772155.06;221518287119.67;"2023-07-24T12:00:00.000Z"
1843.467830148;1847.8951375893;1836.8524404344;1842.8128965624;6917827890.52;221495078037.6;"2023-07-24T15:00:00.000Z"
1842.6146820056;1850.6876244184;1842.6146820056;1850.6876244184;6523633794.24;222441573183.28;"2023-07-24T18:00:00.000Z"
1850.5456729074;1850.9078030514;1846.1453134009;1850.0020751716;6344373568.82;222359174267.9;"2023-07-24T21:00:00.000Z"
1850.0279874104;1855.7766278714;1845.9815839056;1852.9818169835;6177194913.72;222714891228.96;"2023-07-25T00:00:00.000Z"
1852.9896260762;1853.5615195208;1846.8887255703;1852.0639518548;5968545603.78;222604570539.11;"2023-07-25T03:00:00.000Z"
1851.8735167834;1854.536708933;1849.2512360957;1854.4322723308;5867665788.15;222889225376.19;"2023-07-25T06:00:00.000Z"
1854.3881407979;1862.427778443;1852.3849496706;1853.0322672124;4929153183.56;222782474256.64;"2023-07-25T09:00:00.000Z"
1853.0117702732;1867.3231871439;1852.588031243;1855.1297439815;4733349041.03;222973056378.42;"2023-07-25T12:00:00.000Z"
1854.8846122781;1863.7119596558;1853.8557821125;1860.4287655497;4182337099.81;223726936683.69;"2023-07-25T15:00:00.000Z"
1860.8406316774;1864.9893542233;1857.2399278596;1861.7217604738;4178171842.42;223921171958.35;"2023-07-25T18:00:00.000Z"
1861.8764943887;1864.3692711147;1856.8624713708;1857.741957571;4163381707.32;223456250671.33;"2023-07-25T21:00:00.000Z"
1857.6965328035;1858.199543327;1852.4444929796;1857.5491024395;4137994205.6;223468069272.04;"2023-07-26T00:00:00.000Z"
1859.5156640823;1866.3723412213;1854.6073171599;1859.1113412065;4259914592.67;223677622539.37;"2023-07-26T03:00:00.000Z"
1859.130150451;1860.6952320569;1852.3165480394;1854.2327276404;4360534758.84;223137614211.41;"2023-07-26T06:00:00.000Z"
1854.211730013;1855.1559377744;1849.4368818344;1850.8346894781;4342885486.43;222745431400.12;"2023-07-26T09:00:00.000Z"
1850.762757799;1859.7082770872;1849.9766281306;1857.942759244;4321645191.58;223309313500.15;"2023-07-26T12:00:00.000Z"
1857.9462938642;1863.0328241746;1857.4790160711;1857.4790160711;4388103475.67;223661449524.83;"2023-07-26T15:00:00.000Z"
1857.1487128949;1886.9741249298;1857.1487128949;1881.4649734685;5502619523.37;226731003063.38;"2023-07-26T18:00:00.000Z"
1881.0977778045;1882.7889328225;1867.8102035905;1872.1599359835;5781548155.47;225653957077.34;"2023-07-26T21:00:00.000Z"
1872.0863087262;1876.6313390891;1868.0756793973;1876.6313390891;5807870003.08;226265690100.62;"2023-07-27T00:00:00.000Z"
1878.0037585264;1881.4759305528;1876.0714765607;1878.9319168533;5639386504.32;226563777138.03;"2023-07-27T03:00:00.000Z"
1878.5585554472;1878.5585554472;1870.0734840746;1876.3754001163;5703012560.87;226312224153.43;"2023-07-27T06:00:00.000Z"
1877.6949801222;1885.5916123837;1876.3484725212;1876.6727975298;5796739913.62;226377068763.06;"2023-07-27T09:00:00.000Z"
1876.7869518311;1878.4303244116;1869.0481114655;1870.0273070217;5630012770.73;225607436469.68;"2023-07-27T12:00:00.000Z"
1869.4740804911;1871.6160581877;1864.4163357992;1864.8094102949;5590263697.75;225004494817.69;"2023-07-27T15:00:00.000Z"
1864.9989583427;1866.3746309196;1856.1169195235;1858.6462583117;4620306258.44;224291917964.13;"2023-07-27T18:00:00.000Z"
1858.4458259481;1861.3940749352;1855.321567337;1860.3572210048;4291339248.12;223597227103.75;"2023-07-27T21:00:00.000Z"
1860.7024919129;1864.1708648093;1860.3455609661;1861.8203221032;4089022487.9;223767010288.97;"2023-07-28T00:00:00.000Z"
1862.0291186633;1864.7093398133;1857.048891221;1857.688754041;4117123461.99;224287480656.69;"2023-07-28T03:00:00.000Z"
1858.2104251125;1862.8203591427;1857.2820172894;1862.3682367769;4015305411.74;224890473429.99;"2023-07-28T06:00:00.000Z"
1862.3324526934;1868.5659439083;1861.3909788155;1866.616569767;3936754435.7;224346425920.94;"2023-07-28T09:00:00.000Z"
1866.6677858856;1881.457298528;1866.5493771512;1877.9080297853;4177549458.39;226833881199.29;"2023-07-28T12:00:00.000Z"
1878.2626077607;1879.9904400212;1867.0453864823;1870.3598956461;4164511094.54;225951564142.3;"2023-07-28T15:00:00.000Z"
1870.6623801231;1876.8870523376;1870.6124493252;1876.557715175;3910827636.04;225541240366.47;"2023-07-28T18:00:00.000Z"
1876.4260852537;1877.5884453043;1874.7449256662;1874.7449256662;3800973336.48;226529194963.13;"2023-07-28T21:00:00.000Z"
1874.5604314537;1876.982851828;1873.3844504625;1874.8433781523;3770536666.2;225329736906.01;"2023-07-29T00:00:00.000Z"
1875.0540157721;1877.4690397103;1873.6070421857;1874.6989467727;3607406936.81;226583214695.43;"2023-07-29T03:00:00.000Z"
1874.675298654;1874.675298654;1870.7305548933;1872.1168990596;3437040395.33;226294521040.29;"2023-07-29T06:00:00.000Z"
1872.0344955943;1873.0895196518;1870.333920147;1871.3364845155;3218381421.82;224908257741.55;"2023-07-29T09:00:00.000Z"
1870.9368258474;1874.9849736835;1870.8036029124;1872.7022738553;2777476919.43;225072406361.21;"2023-07-29T12:00:00.000Z"
1872.7057077617;1877.3046974398;1871.6500137051;1876.7603914714;2383580314.71;226907494556.95;"2023-07-29T15:00:00.000Z"
1876.6148509612;1885.52927053;1873.8029393087;1883.9286493019;2443143893.97;227799347875.45;"2023-07-29T18:00:00.000Z"
1883.9037402719;1885.5008124765;1879.8613149066;1881.0688769377;2497302217.96;226077954074.33;"2023-07-29T21:00:00.000Z"
1880.8715209299;1881.7075867097;1877.9660874373;1878.0046011028;2491253752.64;225705396552.98;"2023-07-30T00:00:00.000Z"
1878.0729642837;1879.6118760552;1876.4905486905;1877.0843661185;2511167220.19;227013229312.71;"2023-07-30T03:00:00.000Z"
1877.1329381175;1877.1329381175;1874.2584004739;1874.9654004512;2535948689.29;225335372900.86;"2023-07-30T06:00:00.000Z"
1874.9832532262;1876.7894234622;1873.439499345;1875.870213117;2608358643.54;226897058942.91;"2023-07-30T09:00:00.000Z"
1875.5541532339;1881.8254814081;1872.6501872618;1880.0994141734;2705407949.28;227449526821.32;"2023-07-30T12:00:00.000Z"
1880.5345838218;1884.1442089882;1874.7756662288;1878.4058195169;2969145431.3;225748846191.04;"2023-07-30T15:00:00.000Z"
1878.4919687092;1878.6757973034;1851.7279943563;1865.2382661371;3760766704.51;225691194244.97;"2023-07-30T18:00:00.000Z"
1865.2113973822;1865.2113973822;1855.8237011875;1861.6438552675;4003005547.05;225274024718.29;"2023-07-30T21:00:00.000Z"
1861.7552171849;1875.6294465554;1861.2172126011;1870.6259748334;4386380533.28;226390540814.22;"2023-07-31T00:00:00.000Z"
1870.3522442522;1870.5505400218;1862.9843002023;1864.0584254064;4609567723.56;225607502636.25;"2023-07-31T03:00:00.000Z"